Year,Bottom90,Upper10,Upper01,Ratio1,Ratio2
1947,16393,77500.5,360946,4.73,22
1948,16790,77675,394425,4.63,23.5
1949,17236,80622,365192,4.68,21.2
1950,17899,82469,449021,4.61,25.1
1951,18831,86198,442877,4.58,23.5
1952,19775,88974,430988,4.5,21.8
1953,21083,92540.5,401900,4.39,19.1
1954,21083,94136.5,396554,4.47,18.8
1955,22139,98524,440056,4.45,19.9
1956,23104,103927.5,449015,4.5,19.4
1957,22798,104776,400276,4.6,17.6
1958,22297,103347,384099,4.64,17.2
1959,23669,108557,388749,4.59,16.4
1960,24268,111937,405353,4.61,16.7
1961,24381,113675.5,396261,4.66,16.3
1962,25269,117530,388220,4.65,15.4
1963,25819,119992.5,393367,4.65,15.2
1964,26469,123695.5,427104,4.67,16.1
1965,26907,125367,450481,4.66,16.7
1966,27382,130380.5,495680,4.76,18.1
1967,27690,133064.5,488722,4.81,17.6
1968,28281,136229,506652,4.82,17.9
1969,28768,140283,509792,4.88,17.7
1970,28639,140736,491024,4.91,17.1
1971,28742,142087.5,481716,4.94,16.8
1972,29624,150249.5,538355,5.07,18.2
1973,29799,151306,572468,5.08,19.2
1974,28979,148101.5,617553,5.11,21.3
1975,28385,148407,650169,5.23,22.9
1976,28968,151020,636068,5.21,22
1977,29328,155812.5,704793,5.31,24
1978,30947,166551.5,654638,5.38,21.2
1979,30880,162858,648725,5.27,21
1980,30206,162660,686411,5.39,22.7
1981,30072,162758,696082,5.41,23.1
1982,29672,165914,761430,5.59,25.7
1983,29746,169129,834624,5.69,28.1
1984,30310,173912.5,934410,5.74,30.8
1985,30582,176890,945589,5.78,30.9
1986,31206,183826.5,1043610,5.89,33.4
1987,31515,192039,1340408,6.09,42.5
1988,31571,198707.5,1558406,6.29,49.4
1989,31434,197045,1452687,6.27,46.2
1990,31227,195718.5,1490944,6.27,47.7
1991,30885,191840.5,1327274,6.21,43
1992,31350,201444,1660496,6.43,53
1993,31160,200430,1558467,6.43,50
1994,31489,201021,1472060,6.38,46.7
1995,31750,205328,1537520,6.47,48.4
1996,32134,210487,1669097,6.55,51.9
1997,33036,222127,2112368,6.72,63.9
1998,34269,232418,2302186,6.78,67.2
1999,34945,242649.5,2598197,6.94,74.4
2000,35593,251050,2838853,7.05,79.8
2001,35742,248012,2597927,6.94,72.7
2002,35692,240311,2202601,6.73,61.7
2003,35713,243608,2271093,6.82,63.6
2004,35702,248871.5,2514427,6.97,70.4
2005,34273,243265.5,2547970,7.1,74.3
2006,34476,248437.5,2659932,7.21,77.2
2007,36025,264147,3000181,7.33,83.3
2008,34543,248807.5,2558270,7.2,74.1
2009,35806,252683,2215819,7.06,61.9
2010,35574,258330,2451868,7.26,68.9
2011,35366,260257,2458973,7.36,69.5
2012,35403,265137,2775636,7.49,78.4
2013,35537,263227.5,2525505,7.41,71.1
2014,35992,269402.5,2748773,7.49,76.4
2015,37208,277978.5,2840909,7.47,76.4
2016,37377,275983,2661487,7.38,71.2
2017,37735,279824,2875235,7.42,76.2
2018,38255,282292.5,2858981,7.38,74.7
2019,38923,290046,2888192,7.45,74.2
